item,itemLabel,position,positionLabel,predecessor,predecessorLabel,after,jurisdictionLabel,others
Q61879447,Edson Duarte Morais,Q16141555,Minister of the Natural Environment,Q9074685,Sarney Filho,2018-04-06,Brazil,0
Q376746,Joachim Brudziński,Q25598713,Minister of the Interior and Administration of Poland,Q1748055,Mariusz Błaszczak,2018-01-09,Poland,3
Q479171,Amber Rudd,Q3315134,Minister for Women and Equalities,Q333012,Justine Greening,2018-01-08,United Kingdom,9
Q55808436,Vivian Motzfeldt,Q113470510,Minister of Foreign Affairs of Greenland,Q41804539,Suka K. Frederiksen,2018-01-01,Greenland,3
Q6369482,Karen Andrews,Q6865883,Minister for Industry and Innovation,Q4800293,Arthur Sinodinos,2017-12-20,Australia,2
Q6831813,Michael Keenan,Q6865821,Minister for Social Services,Q16196728,Angus Taylor,2017-12-20,Australia,2
Q6831813,Michael Keenan,Q6865874,Minister for Human Services,Q4707935,Alan Tudge,2017-12-20,Australia,2
Q6832641,Michael McCormack,Q6865985,Minister for Veterans' Affairs,Q5214486,Dan Tehan,2017-12-20,Australia,3
Q6832641,Michael McCormack,Q6865787,Minister for Defence Science and Personnel,Q5214486,Dan Tehan,2017-12-20,Australia,3
Q4877021,Beata Szydło,Q15051532,Deputy Prime Minister of the Republic of Poland,Q11771436,Mateusz Morawiecki,2017-12-11,Poland,3
Q6915778,Moses Garu,Q109910256,"Minister of Police, National Security and Correctional Services",Q7176876,Peter Shannel Agovaka,2017-11-24,Solomon Islands,1
Q42432799,Adolfo Rubinstein,Q28504123,Minister of Health,Q21573207,Jorge Lemus,2017-11-21,Argentina,0
Q76445907,Q76445907,Q110526438,Minister of Higher Education,Q96041531,Mohammad Abdullatif Al-Fares,2017-11-19,Kuwait,1
Q76445907,Q76445907,Q110526390,Minister of Education,Q96041531,Mohammad Abdullatif Al-Fares,2017-11-19,Kuwait,1
Q536063,Manasseh Sogavare,Q109910286,Minister of Finance and Treasury,Q42651821,John Maneniaru,2017-11-06,Solomon Islands,2
Q29952844,Wu Tze-cheng,Q11078943,Minister Without Portfolio,Q24572278,Hsu Jan-yau,2017-11-03,Taiwan,2
Q3295308,Jorge Rodríguez,Q113578029,Venezuelan Minister of Communications and Information,Q3788643,Ernesto Villegas,2017-11-03,Venezuela,3
Q4966734,Bridget McKenzie,Q11796917,"Minister for Communications, Urban Infrastructure, Cities and the Arts",Q5451092,Fiona Nash,2017-10-27,Australia,4
Q5224839,Darren Chester,Q6865914,"Minister for Local Government, Territories and Roads",Q5451092,Fiona Nash,2017-10-27,Australia,3
Q114414200,Cyr Koty,Q114414167,Minister of Infrastructure and Transport,Q109037543,José Didier Tonato,2017-10-27,Benin,0
Q5043325,Carmel Sepuloni,Q25998902,Minister of Social Development,Q540420,Anne Tolley,2017-10-26,New Zealand,5
Q18098260,Peeni Henare,Q104847866,Minister for Youth,Q7035240,Nikki Kaye,2017-10-26,New Zealand,3
Q20981694,David Mahlobo,Q20981735,Minister of Energy,Q16746680,Mmamoloko Kubayi,2017-10-17,South Africa,1
Q16765128,Hlengiwe Mkhize,Q11794974,"Minister of Higher Education, Science and Innovation",Q16765311,Blade Nzimande,2017-10-17,South Africa,1
Q113485710,Dil Nath Giri,Q109747515,Minister of Urban Development,Q104972495,Prabhu Sah,2017-10-17,Nepal,0
Q14941831,Ditmir Bushati,Q112620862,Minister of European Integration,Q16359755,Klajda Gjosha,2017-09-13,Albania,2
Q21179419,Gheorghe Șimon,Q21504183,"Minister of Economy, Entrepreneurship and Tourism",Q30349022,Mihai Fifor,2017-09-12,Romania,1
Q16215886,Desmond Lee,Q109192615,Minister for Social and Family Development,Q7682037,Tan Chuan-Jin,2017-09-10,Singapore,3
Q55759676,Rrustem Berisha,Q112972611,Minister of Security Forces,Q55669408,Haki Demolli,2017-09-09,Kosovo,2
Q7709575,Thalatha Atukorale,Q16056498,Minister of Justice,Q7999787,Wijeyadasa Rajapakshe,2017-08-23,Sri Lanka,2
Q3529157,Gamini Jayawickrama Perera,Q107612151,"Minister of Buddhasasana, Religious & Cultural Affairs",Q7999787,Wijeyadasa Rajapakshe,2017-08-23,Sri Lanka,2
Q1637473,John Silk,Q30688664,Minister in Assistance to the President of Marshall Islands,Q30323314,Mattlan Zackhras,2017-08-08,Marshall Islands,2
Q84091097,Aktam Haitov,Q110184885,Minister of Employment and Labour Relations of the Republic of Uzbekistan,Q24009847,Aziz Abdukhakimov,2017-08-07,Uzbekistan,1
Q31188554,Jülide Sarıeroğlu,Q106587107,Minister of Labour and Social Security,Q3739370,Mehmet Müezzinoğlu,2017-07-19,Turkey,1
Q4699401,Aiyaz Sayed-Khaiyum,Q108210873,"Minister for Education, Heritage and Arts",Q19665719,Mahendra Reddy,2017-07-05,Fiji,7
Q25469298,Zoran Đorđević,Q2199072,"Minister of Labour, Employment and Social Policy",Q11074974,Aleksandar Vulin,2017-06-29,Serbia,1
Q30089194,Jorge Faurie,Q108550536,Minister of Foreign Affairs and Worship,Q5936445,Susana Malcorra,2017-06-12,Argentina,1
Q37861149,Michael Farrugia,Q108266345,Minister for Home Affairs,Q5043368,Carmelo Abela,2017-06-09,Malta,5
Q104223812,Q104223812,Q106618417,Minister of Agriculture,Q20995417,Sid Ahmed Ferroukhi,2017-05-24,Algeria,0
Q559040,Jean-Yves Le Drian,Q20203208,Minister of Foreign Affairs,Q7711,Jean-Marc Ayrault,2017-05-15,France,8
Q28950190,Frédérique Vidal,Q29043058,"Minister of National Education, Higher Education and Research",Q268529,Najat Vallaud-Belkacem,2017-05-15,France,2
Q452173,Marielle de Sarnez,Q113117157,Minister of State for European Affairs,Q39015,Harlem Désir,2017-05-10,France,6
Q113076743,Mohammad Sharif Yaftali,Q65051130,Chief of General Staff,Q28062393,Qadam Shah Shahim,2017-04-24,Afghanistan,0
Q20109531,Abdelmalek Boudiaf,Q73916350,Minister of Public Works,Q68331686,Boudjemaa Talai,2017-04-06,Algeria,1
Q24233839,Nkosinathi Nhleko,Q16744853,Minister of Public Works,Q16193273,Thulas Nxesi,2017-03-31,South Africa,1
Q5018837,Harrison Mwakyembe,Q67203620,"Minister of Information, Culture, Arts and Sports",Q16733431,Nape Nnauye,2017-03-23,Tanzania,1
Q48778102,Pohiva Tuʻiʻonetoa,Q108887702,Minister for Revenue and Customs,Q96574147,Tevita Lavemaau,2017-03-06,Tonga,3
Q7352813,Robin Swann,Q24323339,Minister of Health,Q6837191,Michelle O'Neill,2017-03-02,Northern Ireland,5
Q7846832,Troy Grant,Q6865931,Minister for Police,Q5233352,David Elliott,2017-01-30,New South Wales,1
Q57836,Navin Ramgoolam,Q109908423,Minister of Arts and Cultural Heritage,Q77311543,Prithvirajsing Roopun,2017-01-23,Mauritius,4
Q2821166,Abdelmadjid Tebboune,Q109649688,Minister of Trade and Export Promotion,Q26036592,Bakhti Belaïb,2017-01-19,Algeria,3
Q3594634,ʻAkilisi Pohiva,Q108888383,Minister for Internal Affairs,Q96470811,Penisimani Fifita,2017-01-16,Tonga,4
Q3195101,Ken Wyatt,Q6865857,Minister for Health,Q7649377,Sussan Ley,2017-01-13,Australia,2
Q28035046,Gabriel Petrea,Q21504092,Minister-delegate for social dialog,Q21513379,Violeta Alexandru,2017-01-04,Romania,1
Q11715561,Jacek Sasin,Q110811948,Minister of State Treasury,Q432110,Henryk Kowalczyk,2016-12-31,Poland,3
Q4352603,Gerry Brownlee,Q115678790,Minister of Civil Defence,Q7035240,Nikki Kaye,2016-12-20,New Zealand,3
Q32557071,Botir Xoʻjayev,Q110184808,Minister of Finance,Q20533328,Rustam Atsimov,2016-12-15,Uzbekistan,0
Q912762,Brian Mikkelsen,Q12310252,Minister for Commerce of Denmark,Q3080572,Troels Lund Poulsen,2016-11-28,Kingdom of Denmark,5
Q115660273,Osman Nurković,Q115660261,Minister of Transport and Maritime Affairs,Q12752123,Ivan Brajović,2016-11-28,Montenegro,0
Q9622064,Antônio José Imbassahy da Silva,Q63644927,Secretary of Government,Q10288607,Geddel Vieira Lima,2016-11-25,Brazil,4
Q9080691,Yang Xiaodu,Q110454872,Minister of Supervision of the People's Republic of China,Q8293836,Huang Shuxian,2016-11-07,People's Republic of China,3
Q16331139,Panagiotis Kouroumplis,Q19860550,Minister of Naval Affairs of Greece,Q7786625,Thodoris Dritsas,2016-11-04,Greece,2
Q27681455,Álvaro Nadal,Q47273791,"Minister of Industry, Energy, and Tourism",Q225880,Luis de Guindos,2016-11-04,Spain,1
Q16728581,Diriba Kuma,Q109989668,Minister of Transport and Communications,Q27686173,Workneh Gebeyehu,2016-11-01,Ethiopia,1
Q3416205,Rachid Talbi Alami,Q96093400,Minister of Youth and Sport,Q25451802,Lahcen Sekkouri,2016-10-21,Morocco,1
Q7146470,Patrick Faber,Q109930894,Deputy Prime Minister of Belize,Q5526559,Gaspar Vega,2016-10-17,Belize,1
Q16182287,Ignasius Jonan,Q108298100,Minister of Energy and Mineral Resources,Q14917375,Luhut Binsar Panjaitan,2016-10-14,Indonesia,0
Q16214166,Anas Khalid Al Saleh,Q110526654,Minister of Information,Q12240740,Mohammad Abdullah Al-Mubarak Al-Sabah,2016-09-11,Kuwait,3
Q527063,Askar Mamin,Q96377974,First Deputy Prime Minister of Kazakhstan,Q4404442,Bakhytzhan Sagintayev,2016-09-08,Kazakhstan,3
Q6435368,Kozo Yamamoto,Q20041398,Minister of State for Regional Revitalization,Q1335527,Shigeru Ishiba,2016-08-03,Japan,1
Q731740,Wiranto,Q108300292,"Coordinating Minister for Political, Legal, and Security Affairs",Q14917375,Luhut Binsar Panjaitan,2016-07-27,Indonesia,2
Q12471140,Airlangga Hartarto,Q108298162,Minister of Trade,Q19745898,Saleh Husin,2016-07-27,Indonesia,4
Q6288876,Josh Frydenberg,Q11796986,Minister for the Environment,Q5605742,Greg Hunt,2016-07-19,Australia,2
Q7437180,Scott Ryan,Q7574624,Special Minister of State,Q1813692,Mathias Cormann,2016-07-19,Australia,2
Q4966734,Bridget McKenzie,Q6865857,Minister for Health,Q5451092,Fiona Nash,2016-07-19,Australia,4
Q748837,David Lidington,Q943379,Lord President of the Council,Q337453,Chris Grayling,2016-07-14,United Kingdom,15
Q3376692,Peter Kent,Q541355,Minister of Foreign Affairs of Canada,Q3531723,Tony Clement,2016-07-12,Canada,2
Q4751468,Ananth Kumar,Q6866273,Minister of Parliamentary Affairs,Q3764667,Muppavarapu Venkaiah Naidu,2016-07-05,India,7
Q5065890,Ch. Birender Singh,Q6866391,Minister of Steel,Q6965799,Narendra Singh Tomar,2016-07-05,India,3
Q19975765,Anil Madhav Dave,Q108559737,Minister of Environment and Forests,Q7238178,Prakash Javadekar,2016-07-05,India,1
Q6808653,Megan Fearon,Q6313365,Junior Minister,Q3807885,Jennifer McCann,2016-06-25,Northern Ireland,3
Q6203277,Jitendra Singh,Q6866423,Minister of Youth Affairs and Sports,Q7423486,Sarbananda Sonowal,2016-05-23,India,2
Q6515593,Lee Ying-yuan,Q20789094,Minister of Environmental Protection Administration of the Executive Yuan,Q15831062,Wei Kuo-yen,2016-05-20,Taiwan,5
Q85365,Jörg Leichtfried,Q24255995,"Federal Minister for Transport, Innovation and Technology",Q1509939,Gerald Klug,2016-05-18,Austria,4
Q174924,Humza Yousaf,Q6865983,Minister for Transport and Veterans,Q1200058,Derek Mackay,2016-05-18,Scotland,7
Q333811,John Swinney,Q5015475,Cabinet Secretary for Education and Lifelong Learning,Q524077,Angela Constance,2016-05-18,Scotland,15
Q1200058,Derek Mackay,Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",Q333811,John Swinney,2016-05-18,Scotland,5
Q9667467,Bruno Araújo,Q59346267,city minister of Brazil,Q25439030,Inês da Silva Magalhães,2016-05-12,Brazil,1
Q6388501,Ken Skates,Q23602586,"Minister for Business, Enterprise, Technology and Science",Q5346948,Edwina Hart,2016-05-07,Wales,7
Q24350769,Quandyq Bishimbaev,Q107752575,Minister of National Economy,Q4167136,Erbolat Dosaev,2016-05-05,Kazakhstan,0
Q2589861,Stepan Kubiv,Q107694043,Minister of Economy of Ukraine,Q18600209,Aivaras Abromavičius,2016-04-14,Ukraine,3
Q12132510,Ihor Nasalyk,Q107620801,Minister of Energy of Ukraine,Q18601211,Volodymyr Demchyshyn,2016-04-14,Ukraine,2
Q23682496,Kyaw Win,Q110079809,Minister of Finance,Q17070236,Win Shein,2016-03-30,Myanmar,1
Q91940846,Ohn Maung,Q110079851,Minister of Hotels and Tourism,Q20740965,Htay Aung,2016-03-30,Myanmar,0
Q102305634,Faaolesa Katopau Ainuu,Q109706464,Minister of Justice and Courts Administration,Q5446290,Fiamē Naomi Mataʻafa,2016-03-18,Samoa,1
Q37181,Luiz Inácio Lula da Silva,Q5097042,Chief of Staff of the Presidency Brazil,Q6159407,Jaques Wagner,2016-03-16,Brazil,3
Q55364066,David Collins,Q109715115,"Minister for Women, Youth, Sports and Social Affairs",Q65373765,Tangariki Reete,2016-03-11,Kiribati,1
Q102127891,Faimalotoa Kika Stowers,Q109706873,"Minister of Women, Community, and Social Development",Q7814479,Tolofuaivalelei Falemoe Lei’ataua,2016-03-04,Samoa,1
Q25469298,Zoran Đorđević,Q2198783,Minister of Defense,Q16889667,Dušan Vujović,2016-03-02,Serbia,1
Q7437180,Scott Ryan,Q11796967,Minister for Education,Q6702024,Luke Hartsuyker,2016-02-18,Australia,2
Q16203640,Allen Chastanet,Q15916815,Foreign Minister of Saint Lucia,Q4737616,Alva Baptiste,2016-01-01,Saint Lucia,3
Q16191011,Marise Payne,Q6865784,Minister for Defence Materiel,Q6740586,Mal Brough,2015-12-29,Australia,4
Q21694330,David van Rooyen,Q20981732,Minister of Cooperative Governance and Traditional Affairs,Q561279,Pravin Gordhan,2015-12-14,South Africa,2
Q22252746,Maria Manuel Leitão Marques,Q56872893,Minister of Parliamentary Affairs,Q11764395,Luís Marques Guedes,2015-11-26,Portugal,2
Q22252746,Maria Manuel Leitão Marques,Q107815186,Minister of State for the Presidency,Q11764395,Luís Marques Guedes,2015-11-26,Portugal,2
Q20090683,Fatma Güldemet Sarı,Q106532539,"Minister of the Environment, Urbanisation, and Climate Change",Q6059473,İdris Güllüce,2015-11-17,Turkey,1
Q7563912,Sospeter Muhongo,Q110178866,Minister of Energy and Minerals,Q11045555,George Simbachawene,2015-11-05,Tanzania,1
Q16195363,Hunter Tootoo,Q3251819,Minister of Fisheries and Oceans,Q3094373,Gail Shea,2015-11-04,Canada,1
Q21384927,Carla Qualtrough,Q6866332,Minister of Sport and Persons with Disabilities,Q2880373,Bal Gosal,2015-11-04,Canada,3
Q2607084,Rihards Kozlovskis,Q16361608,Minister of Transport,Q5639367,Anrijs Matīss,2015-11-01,Latvia,2
Q112974165,Bahrin Abdullah,Q112974086,Minister of Development,Q16733895,Suyoi bin Osman,2015-10-22,Brunei,0
Q337762,Hiroshi Moriyama,Q8191055,"Minister of Agriculture, Forestry and Fisheries",Q1141271,Yoshimasa Hayashi,2015-10-07,Japan,2
Q4696975,Aiko Shimajiri,Q11394679,Minister of State for Science and Technology Policy,Q7505080,Shunichi Yamaguchi,2015-10-07,Japan,2
Q4696975,Aiko Shimajiri,Q11394675,Minister of State for Okinawa and Northern Territories Affairs,Q7505080,Shunichi Yamaguchi,2015-10-07,Japan,2
Q4696975,Aiko Shimajiri,Q11394674,Minister of State for Space Policy,Q7505080,Shunichi Yamaguchi,2015-10-07,Japan,2
Q16331139,Panagiotis Kouroumplis,Q19858317,Greek Minister of the Interior,Q13260393,Antonis Manitakis,2015-09-23,Greece,2
Q6386229,Kelly O'Dwyer,Q11796971,Minister for Small Business (Australia),Q4977155,Bruce Billson,2015-09-21,Australia,3
Q6880868,Mitch Fifield,Q6865994,Minister for the Arts,Q5537216,George Brandis,2015-09-21,Australia,5
Q18641022,Elena Kountoura,Q20128304,Minister of Tourism of Greece,Q2985510,Alkistis Protopsalti,2015-09-20,Greece,4
Q12521107,Teten Masduki,Q108300235,Presidential Chief of Staff,Q14917375,Luhut Binsar Panjaitan,2015-09-02,Indonesia,1
Q7036594,Nikos Christodoulakis,Q19860550,Minister of Naval Affairs of Greece,Q7786625,Thodoris Dritsas,2015-08-27,Greece,4
Q19696256,Ko Ko,Q110079911,Minister of Immigration and Population,Q6401687,Khin Yi,2015-08-12,Myanmar,1
Q4695471,Ahmad Shabery Cheek,Q30601423,Minister of Agriculture and Food Industries,Q6084858,Ismail Sabri Yaakob,2015-07-29,Malaysia,1
Q24237654,Hibatullah Akhundzada,Q112999416,Deputy Leader of the Islamic Emirate of Afghanistan,Q2829007,Akhtar Mansour,2015-07-29,Afghanistan,1
Q18913186,Panos Skourletis,Q23901445,"Minister of Environment, Energy and Climate Change",Q18572717,Panagiotis Lafazanis,2015-07-17,Greece,2
Q5107550,Chris Mushohwe,Q110197082,Minister of Information and Publicity,Q3183430,Jonathan Moyo,2015-07-06,Zimbabwe,1
Q7095508,Oppah Muchinguri,Q110197142,"Minister of the Environment, Climate Change, Tourism, and International Trade",Q7428343,Saviour Kasukuwere,2015-07-06,Zimbabwe,5
Q779418,Juha Rehula,Q18694348,Minister of Social Affairs and Health,Q546665,Susanna Huovinen,2015-05-29,Finland,2
Q11875437,Lenita Toivakka,Q17118521,Minister for International Development,Q16989600,Sirpa Paatero,2015-05-29,Finland,3
Q16980286,Anne Berner,Q25713902,Minister of Transport and Local Government,Q2983780,Paula Risikko,2015-05-29,Finland,2
Q964549,Kimmo Tiilikainen,Q24205201,Minister of Agriculture and Forestry,Q6029546,Petteri Orpo,2015-05-28,Finland,4
Q964549,Kimmo Tiilikainen,Q1425432,Minister of the Environment and Climate Change,Q5406165,Sanni Grahn-Laasonen,2015-05-28,Finland,4
Q62733615,Winston DaCosta Jordan,Q114565391,Minister of Finance,Q105715507,Ashni Singh,2015-05-16,Guyana,1
Q553567,Silvan Shalom,Q2433405,Minister of the Interior of Israel,Q2663804,Gilad Erdan,2015-05-14,Israel,3
Q2583898,Ze'ev Elkin,Q2564757,Strategic Affairs Minister of Israel,Q1362317,Yuval Steinitz,2015-05-14,Israel,4
Q478161,Matt Hancock,Q6865995,Minister for the Cabinet Office,Q333986,Francis Maude,2015-05-11,United Kingdom,8
Q391526,Chris Skidmore,Q108046681,Minister of State at the Cabinet Office,Q728063,Jo Johnson,2015-05-11,United Kingdom,7
Q300107,Caroline Dinenage,Q3315134,Minister for Women and Equalities,Q391792,Helen Grant,2015-05-08,United Kingdom,8
Q13037656,Blendi Klosi,Q109524973,Minister of Social Welfare and Youth,Q16354049,Erion Veliaj,2015-04-30,Albania,2
Q104450411,Desirée Santos Amaral,Q113578029,Venezuelan Minister of Communications and Information,Q3157719,Jacqueline Faría,2015-04-28,Venezuela,0
Q7846832,Troy Grant,Q6865931,Minister for Police,Q7626294,Stuart Ayres,2015-04-02,New South Wales,1
Q65938398,Eric Jover Comas,Q67200458,Andorran Minister of Education and Culture,Q64746821,Roser Suñé Pascuet,2015-04-01,Andorra,1
Q12172081,Zoryan Shkiryak,Q109946495,Head of the State Emergency Service of Ukraine,Q17371669,Serhii Bochkovskyi,2015-03-25,Ukraine,0
Q4710618,Albert Kawana,Q110395103,Minister of Justice,Q58304,Utoni Nujoma,2015-03-21,Namibia,4
Q19776618,Stephane Christophe Bride,Q108219454,Deputy Prime Minister,Q13461378,Tatiana Potîng,2015-02-18,Moldova,1
Q19516730,Abdullatif bin Abdulmalik Al Shaikh,Q114452786,Minister of Municipal and Rural Affairs,Q12245615,Mansour bin Mutaib,2015-01-29,Saudi Arabia,0
Q12872947,Frosso Kiaou,Q19904334,Minister of Culture of Greece,Q20995518,Konstantinos Tassoulas,2015-01-27,Greece,2
Q18641022,Elena Kountoura,Q20128304,Minister of Tourism of Greece,Q536323,Olga Kefalogianni,2015-01-27,Greece,4
Q40688,Yanis Varoufakis,Q23901405,Minister of Economy and Finance of Greece,Q1447979,Gikas Hardouvelis,2015-01-27,Greece,2
Q18913183,Giorgos Stathakis,Q23901435,Minister of Marine and the Aegean,Q12881047,Miltiades Varvitsiotis,2015-01-27,Greece,2
Q18913183,Giorgos Stathakis,Q23901465,"Minister for Infrastructure, Transport and Networks",Q185945,Michalis Chrisochoidis,2015-01-27,Greece,2
Q24009765,Q24009765,Q110184816,Minister of Justice,Q20533811,Nigmatilla Yuldashev,2015-01-26,Uzbekistan,0
Q18921316,Khadra Bashir Ali,Q107722531,Minister of Education,Q4666122,Abdullahi Ahmed Jama,2015-01-17,Somalia,0
Q4701001,Akila Viraj Kariyawasam,Q16056497,Minister of Education,Q11057149,Bandula Gunawardane,2015-01-12,Sri Lanka,1
Q18763758,Abdirahman Omar Osman- Eng Yarisow,Q66499344,Minister of Commerce and Industry,Q2744150,Adan Mohamed Nuur Madobe,2015-01-12,Somalia,3
Q3530016,Tiéman Hubert Coulibaly,Q98915482,Minister of Defence of Mali,Q99522144,Bah Ndaw,2015-01-10,Mali,1
Q3594634,ʻAkilisi Pohiva,Q108888371,Minister for Education and Training,Q8083951,ʻAna Taufeʻulungaki,2015-01-04,Tonga,4
Q6153693,Janette Garin,Q7444312,Secretary of Health,Q5379779,Enrique Ona,2014-12-19,Philippines,1
Q5107550,Chris Mushohwe,Q111317160,"Minister of Youth Development, Indigenisation and Empowerment",Q3081621,Francis Nhema,2014-12-11,Zimbabwe,1
Q12216643,Q12216643,Q114452780,"Minister of Islamic Affairs, Da’wah, and Guidance",Q12219612,Saleh bin Abdul-Aziz Al ash-Sheikh,2014-12-08,Saudi Arabia,0
Q1378506,Vyacheslav Kyrylenko,Q107620769,Minister of Culture and Information Policy of Ukraine,Q12133803,Yevhen Nyshchuk,2014-12-02,Ukraine,4
Q19661243,Hope Strachan,Q108030461,"Minister of Financial Services, Trade and Industry and Immigration",Q7384427,Ryan Pinder,2014-12-01,The Bahamas,1
Q48778102,Pohiva Tuʻiʻonetoa,Q108888428,Minister of Tourism,Q7930213,Viliami Latu,2014-11-27,Tonga,3
Q48778102,Pohiva Tuʻiʻonetoa,Q108888413,Minister of Police,Q7525417,Siosifa Tuʻitupou Tuʻutafaiva,2014-11-27,Tonga,3
Q96574147,Tevita Lavemaau,Q108888407,Minister for Revenue,Q7525417,Siosifa Tuʻitupou Tuʻutafaiva,2014-11-27,Tonga,3
Q5948308,Mohammad Farhadi,Q5952049,"Minister of Science, Research and Technology",Q6891619,Mohammad-Ali Najafi,2014-11-26,Iran,0
Q7227546,Pon Radhakrishnan,Q108560657,"Minister of Ports, Shipping and Waterways",Q16901147,Krishan Pal,2014-11-26,India,2
Q405025,Aileen McLeod,Q30763119,"Cabinet Secretary for Environment, Climate Change and Land Reform",Q2063093,Paul Wheelhouse,2014-11-21,Scotland,3
Q1893669,Marco Biagi,Q6865919,Minister for Local Government and Community Empowerment,Q1200058,Derek Mackay,2014-11-21,Scotland,1
Q7809628,Tissa Attanayake,Q107612203,Minister of Health,Q6737124,Maithripala Sirisena,2014-11-21,Sri Lanka,1
Q1378506,Vyacheslav Kyrylenko,Q16147568,First Deputy Prime Minister of Ukraine,Q2089730,Oleksandr Sych,2014-11-12,Ukraine,4
Q20045592,Ana Cristina Wanzeler,Q59346257,Minister of Culture of Brazil,Q463614,Marta Suplicy,2014-11-11,Brazil,0
Q4854461,Bandaru Dattatreya,Q6866235,Minister of Labour and Employment,Q6965799,Narendra Singh Tomar,2014-11-09,India,5
Q19206321,Temenuzhka Petkova,Q4294821,"Minister of Economy, Energy and Tourism",Q19708041,Vassil Shtonov,2014-11-07,Bulgaria,1
Q16182287,Ignasius Jonan,Q57946840,Minister of Transportation,Q12473898,Bambang Susantono,2014-10-20,Indonesia,0
Q21005007,Mohammed Mahdi al-Bayati,Q114315435,Minister of Human Rights of Iraq,Q3700793,Mohammed Shia' Al Sudani,2014-10-18,Iraq,0
Q12869,Kris Peeters,Q87885285,Deputy Prime Minister of Belgium,Q1534851,Pieter De Crem,2014-10-11,Belgium,6
Q10259777,Maria Wasiak,Q108178663,Minister of Infrastructure and Development,Q459196,Elżbieta Bieńkowska,2014-09-22,Poland,0
Q6435116,Koya Nishikawa,Q8191055,"Minister of Agriculture, Forestry and Fisheries",Q1141271,Yoshimasa Hayashi,2014-09-03,Japan,2
Q11516489,Arimura Haruko,Q11394684,Minister of State for Regulatory Reform,Q1654408,Tomomi Inada,2014-09-03,Japan,1
Q455848,Yūko Obuchi,Q6866106,"Minister of Economy, Trade and Industry",Q1655453,Toshimitsu Motegi,2014-09-03,Japan,1
Q12303134,Benny Engelbrecht,Q7689385,Tax Minister of Denmark,Q531763,Morten Østergaard,2014-09-02,Kingdom of Denmark,2
Q18639642,Bekim Çollaku,Q115788827,Minister for European Integration,Q7939087,Vlora Çitaku,2014-09-01,Kosovo,0
Q17781861,Mothetjoa Metsing,Q30101454,Prime Minister of Lesotho,Q983971,Tom Thabane,2014-08-30,Lesotho,2
Q106994831,Basiru Mahoney,Q48807935,Minister of Justice,Q23772063,Mama Fatima Singhateh,2014-08-27,The Gambia,0
Q58820281,Elguja Khokrishvili,Q108377218,Minister of the Environment,Q4950341,Chatuna Gogaladze,2014-07-26,Georgia,1
Q479171,Amber Rudd,Q25906279,Minister of State for Climate,Q260562,Gregory Barker,2014-07-14,United Kingdom,9
Q1447979,Gikas Hardouvelis,Q19752714,Minister of Economy of Greece,Q715468,Yannis Stournaras,2014-06-10,Greece,1
Q90699740,Q90699740,Q55691776,Minister of Planning,Q99979979,Mohammed Abu Ramadan,2014-06-02,Iraq,1
Q7280187,Radha Mohan Singh,Q6866034,Minister of Agriculture,Q982813,Sharad Pawar,2014-05-26,India,6
Q1109753,Collins Chabane,Q20981740,Minister of Public Service and Administration,Q3241428,Lindiwe Sisulu,2014-05-25,South Africa,1
Q16765753,Ngoako Ramathlodi,Q20981738,Minister of Mineral Resources,Q7648369,Susan Shabangu,2014-05-25,South Africa,2
Q24233839,Nkosinathi Nhleko,Q16744852,Minister of Police,Q1966829,Nathi Mthethwa,2014-05-25,South Africa,1
Q20981694,David Mahlobo,Q6866333,Minister of State Security,Q2290959,Siyabonga Cwele,2014-05-25,South Africa,1
Q1064368,Charles Flanagan,Q6865756,Minister for Children and Youth Affairs,Q540812,Frances Fitzgerald,2014-05-07,Republic of Ireland,3
Q25462657,Dragan Mektić,Q109645247,Minister of Security of Bosnia and Herzegovina,Q1392741,Fahrudin Radončić,2014-04-29,Bosnia and Herzegovina,0
Q164670,Velimir Ilić,Q2199785,Minister without portfolio of the Republic of Serbia,Q11074974,Aleksandar Vulin,2014-04-27,Serbia,0
Q6432260,Kori Udovički,Q2199031,Minister of Justice of Serbia,Q7438681,Nikola Selaković,2014-04-27,Serbia,2
Q818118,Benoît Hamon,Q16059954,Minister of National Education,Q960643,Vincent Peillon,2014-03-31,France,4
Q268660,Fleur Pellerin,Q97061396,French Minister of Foreign Trade,Q452131,Nicole Bricq,2014-03-31,France,4
Q15983657,Anne Sulling,Q21121665,Minister of Economic Affairs and Communications,Q312894,Juhan Parts,2014-03-26,Estonia,2
Q5606187,Greg Rickford,Q3251824,Minister of Natural Resources,Q6211627,Joe Oliver,2014-03-18,Canada,2
Q554734,Dan Șova,Q21513080,Minister of Transport and Infrastructure,Q3064927,Ramona Mănescu,2014-02-26,Romania,1
Q8929116,Chen Wei-zen,Q108022269,Minister of interior of Taiwan,Q6513938,Lee Hong-yuan,2014-02-25,Taiwan,1
Q21005151,Elias Bou Saab,Q79199745,Minister of Education and Higher Education,Q5679624,Hassan Diab,2014-02-15,Lebanon,2
Q378415,Arthur Nazarian,Q114285978,Minister of Energy and Water of Lebanon,Q2737847,Gebran Bassil,2014-02-14,Lebanon,1
Q3595131,Ghulam Nabi Azad,Q16934521,Minister of Water Resources,Q5657914,Harish Rawat,2014-01-31,India,6
