position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q108899569,member of a Czech municipal council,Nový Jičín,municipality of the Czech Republic,2,Q26719566
Q18812470,member of the Congress of the Republic of Peru,,Peru,2,Q30064133
Q65055954,member of the Constitutional Court of Hungary,,Hungary,2,Q1238132
Q18556824,member of the Landtag of Brandenburg,,Brandenburg,2,Q1584668
Q17781726,member of the Landtag of North Rhine-Westphalia,,North Rhine-Westphalia,2,Q1698153
Q62083474,member of the Legislative Assembly of the Azores,,Azores,2,Q101760216
Q25608222,member of the Styrian state parliament,,Styria,2,Q1507084
Q108639423,member of the church council,,,2,Q65499866
Q63758899,member of the departmental council of Dordogne,,Dordogne,2,Q2733411
Q97482758,member of the municipal council of Brno,,Brno,2,Q26719578
Q28382070,municipal councillor of Oss,,Oss,2,Q29001708
Q21384871,municipal councillor of Rotterdam,,Rotterdam,2,Q22340717
Q106220842,municipal councillor of Weert,,Weert,2,Q2760696
Q20872296,municipal executive of Almere,,Almere,2,Q3535033
Q30087875,municipal executive of Oss,,Oss,2,Q29001708
Q21013169,municipal executive of The Hague,,The Hague,2,Q2644986
Q736559,secretary of state,,<noval>,2,Q2848745
Q736559,secretary of state,Ministry of Human Capacities,<noval>,2,Q1959858
Q15686806,senator,,,2,Q18538779
Q66759001,Director General de la Policía,,Spain,2,Q5913172
Q813387,"Commissaire du Gouvernement fédéral pour les migrations, des réfugiés et de l'intégration",,,2,Q96967
Q61781087,"Coordinateur de la coopération intersociétale avec la Russie, l'Asie centrale et les pays du partenariat oriental",,,2,Q15813144
Q20491983,Député du Parlement basque à la première législature,,,2,Q3045610
Q66501402,conseiller de Metz Métropole,,Eurométropole de Metz,2,Q3084783
Q65499610,conseiller municipal de Metz,,Metz,2,Q3084783
Q65528301,conseiller municipal de Strasbourg,,Strasbourg,2,Q3379355
Q62537707,conseiller régional du Centre-Val de Loire,,Centre-Val de Loire,2,Q3103080
Q23640251,secrétaire d'État au Travail et à la Sécurité sociale,,Greece,2,Q19598336
Q108899843,Q108899843,Moravian-Silesian Region,,1,Q19602762
Q108899843,Q108899843,Olomouc Region,,1,Q12044075
Q109562987,Q109562987,,,1,Q1771608
Q112042562,Q112042562,Copenhagen County,Kingdom of Denmark,1,Q12331321
Q23652102,Q23652102,,Greece,1,Q12879630
Q23652102,Q23652102,First Cabinet of Kostas Karamanlis,Greece,1,Q16187335
Q23652102,Q23652102,Second Cabinet of Kostas Karamanlis,Greece,1,Q16187335
Q3282834,Q3282834,,,1,Q983180
Q59773536,Q59773536,,,1,Q696669
Q67593367,Q67593367,,Encamp,1,Q20004319
Q74363780,Q74363780,,,1,Q5090363
Q9335058,Q9335058,,,1,Q11749720
Q98280059,Q98280059,,Norway,1,Q1082481
Q99228777,Q99228777,,Azores,1,Q745134
Q813390,Beauftragte der Bundesregierung für die Belange von Menschen mit Behinderungen,,,1,Q1236245
Q74669544,2016-2019 UCLG Co-President,,,1,Q469010
Q653833,Alliance for the Future of Austria,,,1,Q113743
Q106066289,Ambassador Extraordinary and Plenipotentiary of the Russian Federation to the Republic of Belarus,,,1,Q188296
Q77974932,Ambassador of Spain to Pakistan,,,1,Q5411740
Q115325171,Assistant Government Whip,,United Kingdom,1,Q303883
Q66091263,Assistant Secretary-General of the United Nations,,,1,Q455223
Q2631987,Attorney General for England and Wales,,England and Wales,1,Q19957769
Q28404009,Attorney General of Uganda,,Uganda,1,Q58240
Q2531604,Austrian Ombudsman Board,,,1,Q1771151
Q60459718,Benidorm city councillor,,Benidorm,1,Q11936739
Q60149940,Blanes city councillor,,Blanes,1,Q9012034
Q109646833,Bosniak Member of the Presidency of Bosnia and Herzegovina,,,1,Q312355
Q3112206,Cabinet of Serbia 2004-2007,,Serbia,1,Q6660855
Q467926,Cathaoirleach,,Republic of Ireland,1,Q1747874
Q5068060,Chair of the Chamber of Deputies of the Parliament of the Czech Republic,,Czech Republic,1,Q457066
Q97670197,Chair of the Committee on Cultural Affairs,,Sweden,1,Q1593545
Q97670195,Chair of the Committee on Defence,,Sweden,1,Q16633140
Q97670204,Chair of the Committee on Education,,Sweden,1,Q3431836
Q97670194,Chair of the Committee on European Union Affairs,,Sweden,1,Q5945618
Q97670207,Chair of the Committee on Finance,,Sweden,1,Q5573006
Q97670200,Chair of the Committee on Taxation,,Sweden,1,Q5573006
Q97670203,Chair of the Committee on Transport and Communications,,Sweden,1,Q3431836
Q97670193,Chair of the Committee on the Labour Market,,Sweden,1,Q772089
Q106677266,Chairman of DİSK,,Turkey,1,Q6019603
Q5068087,Chairman of Ways and Means,,United Kingdom,1,Q303814
Q104724050,Chairman of the 1922 Committee,,,1,Q333852
Q108424666,Chairman of the Mejlis of the Crimean Tatar People,,,1,Q735699
Q87439593,Chairman of the National Assembly of Azerbaijan,,,1,Q16373886
Q107725279,Chairman of the State Committee on Refugee and IDP Affairs,,Azerbaijan,1,Q19715508
Q28045377,Chairperson of Dâmbovița County Council,,Dâmbovița County,1,Q28045417
Q3108725,Chairperson of the National Assembly of Bulgaria,,Bulgaria,1,Q9177631
Q22981837,Chairperson of the National Coalition Party,,,1,Q273324
Q110859362,Chairsperson of the Foreign Affairs Committee of the Finnish Parliament,,,1,Q3040284
Q178909,Chancellery of the President of the Republic of Poland,,,1,Q734755
Q162754,Chancellor of the Duchy of Lancaster,,United Kingdom,1,Q269697
Q16412391,Chief Justice of Supreme Court,,,1,Q2128576
Q5096927,Chief Secretary to the Treasury,,United Kingdom,1,Q269697
Q46197913,Chief coordinator of United Left,,,1,Q450262
Q6857037,Chinese Ambassador to the Netherlands,,,1,Q523850
Q29950730,City councillor of Barcelona,,Barcelona,1,Q527326
Q29897929,Commissioner for Franco-German co-operation,,Germany,1,Q1929074
Q65146493,Consul General of France in Los Angeles,,,1,Q2898334
Q107508415,Council of Elders of the City of Freising,,,1,Q15787696
Q50247738,Councillor in the City of Turin,,Turin,1,Q542406
Q66501396,Councillor of Metropolis of Greater Paris,,Grand Paris,1,Q3022530
Q51236772,Councillor of Paris,,Paris,1,Q3573907
Q98502247,Councillor of State of Thurgau,,Thurgau,1,Q118298
Q56511838,County Governor of Aust-Agder,,Aust-Agder,1,Q329776
Q56512170,County Governor of Trøndelag,,Trøndelag,1,Q11969907
Q109646836,Croat member of the Presidency of Bosnia and Herzegovina,,,1,Q297825
Q38112367,Cyprus Minister of Communications and Works,,Cyprus,1,Q12912924
Q27923951,Danish Minister for Senior Citizens,,Denmark,1,Q12336452
Q20069142,Danish Minister of Transport,,Denmark,1,Q917179
Q3429081,Danish Ministry for Gender Equality,,Denmark,1,Q3121413
Q21290849,Deputy,,Benin,1,Q7799883
Q5261044,Deputy Marshal of the Sejm of the Republic of Poland,,,1,Q360362
Q18625736,Deputy Mayor of Tallinn,,Tallinn City,1,Q12368739
Q23651610,Deputy Minister of Education,,Greece,1,Q1063232
Q23640247,Deputy Minister of Labour,,Greece,1,Q16062036
Q56028053,Deputy Premier of Quebec,,Quebec,1,Q3242479
Q16361570,Deputy Prime Minister,,Latvia,1,Q713138
Q108048838,Deputy Prime Minister for Investments and Informatization,,Slovakia,1,Q26837632
Q17513826,Deputy Prime Minister of Albania,,Albania,1,Q13037063
Q12280307,Deputy Prime Minister of Bulgaria,,Bulgaria,1,Q12283736
Q21070726,Deputy Prime Minister of Denmark,,Denmark,1,Q531763
Q3278079,Deputy Prime Minister of Finland,,Finland,1,Q241376
Q29561881,Deputy Prime Minister of Kyrgyzstan,,Kyrgyzstan,1,Q25597827
Q29217646,Deputy Prime Minister of Luxembourg,,Luxembourg,1,Q15275462
Q17073595,Deputy Prime Minister of Montenegro,,Montenegro,1,Q65499722
Q81292982,Deputy Prime Minister of Romania,,Romania,1,Q21179176
Q4189744,Deputy Prime Minister of Sweden,,Sweden,1,Q5887217
Q16168515,Deputy Prime Minister of Ukraine,,Ukraine,1,Q704326
Q16835059,Deputy Prime Minister of Yugoslavia,,,1,Q1280390
Q15051532,Deputy Prime Minister of the Republic of Poland,,Poland,1,Q360362
Q1507619,Deputy Prime Minister of the United Kingdom,,United Kingdom,1,Q332393
Q146839,Dijkgraaf,,Netherlands,1,Q3020771
Q146839,Dijkgraaf,Hoogheemraadschap Hollands Noorderkwartier,Netherlands,1,Q2423974
Q19891837,Director of SVR,,,1,Q983654
Q9208075,Dnipropetrovsk Oblast State Administration,,Dnipropetrovsk Oblast,1,Q559607
Q1259952,Drug Commissioner of the Federal Government,,,1,Q1289169
Q107751212,"Dutch State Secretary for Health, Welfare and Sport",,Netherlands,1,Q385703
Q105711711,Dutch State Secretary for Social Affairs and Employment,,,1,Q1662099
Q20021291,Education Minister of Israel,,Israel,1,Q2563029
Q79784648,Egyptian Minister of Foreign Affairs,,Egypt,1,Q456346
Q113251096,European Commissioner for Consumer Policy,,European Union,1,Q3443168
Q5190728,"European Commissioner for Education, Culture, Multilingualism and Youth",,European Union,1,Q356253
Q1780183,"European Commissioner for Employment, Social Affairs and Inclusion",,European Union,1,Q58091
Q1747028,European Commissioner for Energy,,European Union,1,Q1317281
Q165055,European Commissioner for Health and Consumer Policy,,European Union,1,Q47545922
Q1780221,European Commissioner for Industry and Entrepreneurship,,European Union,1,Q356253
Q113252649,European Commissioner for International Cooperation and Development,,European Union,1,Q3443168
Q2986313,European Commissioner for International Cooperation and Development,,European Union,1,Q241376
Q1780199,European Commissioner for Maritime Affairs and Fisheries,,European Union,1,Q261709
Q1780211,European Commissioner for Trade,,European Union,1,Q277183
Q1676795,European Commissioner for Transport,,European Union,1,Q333554
Q1276214,European Union Special Representative,,,1,Q467905
Q67477657,Father of the House,,,1,Q264477
Q1006398,Federal Chancellor of Austria,,Austria,1,Q260037
Q1005821,Federal Commissioner for Data Protection and Freedom of Information,,federal agency of Germany,1,Q2476158
Q1005821,Federal Commissioner for Data Protection and Freedom of Information,,telecommunication company,1,Q2476158
Q1005821,Federal Commissioner for Data Protection and Freedom of Information,,postal service,1,Q2476158
Q813386,Federal Government Commissioner for Culture and Media,,Germany,1,Q75791
Q813384,Federal Government Commissioner for Matters Related to Ethnic German Resettlers and National Minorities,,Germany,1,Q823426
Q568605,Federal Minister for Foreign Affairs,,Germany,1,Q564328
Q24255995,"Federal Minister for Transport, Innovation and Technology",,Austria,1,Q85433
Q23016036,Federal Minister of Defence,,Germany,1,Q57505
Q30533307,Federal Minister of Economics and Technology,,Germany,1,Q61803
Q5468294,Federal Minister of Foreign Affairs of Austria,,Austria,1,Q11735
Q30533351,Federal Minister of Labour and Social Affairs,,Germany,1,Q57505
Q27921377,Federal Minister of Transportation,,Germany,1,Q67911
Q166020,"Federal Ministry of Family Affairs, Senior Citizens, Women and Youth",,Germany,1,Q66286
Q115345847,Federal Secretary of Northern League,,Italy,1,Q562097
Q1006360,Federal minister (Austria),,Austria,1,Q78904
Q45178938,Finance Minister of Albania,,Albania,1,Q13037063
Q5449541,Finance Minister of Denmark,,Denmark,1,Q1937560
Q5449550,Finance Minister of Nigeria,,Nigeria,1,Q289350
Q18574418,First Deputy Chairman of Ways and Means,,,1,Q303814
Q16147568,First Deputy Prime Minister of Ukraine,,Ukraine,1,Q559607
Q1362216,First Minister of Scotland,,Scotland,1,Q10652
Q43400455,First Secretary of PSC,,Catalonia,1,Q465464
Q3068024,First Secretary of State,,United Kingdom,1,Q332393
Q112610498,Flemish Minister for the Environment,,Flanders,1,Q2095531
Q112610498,Flemish Minister for the Environment,,Flemish Region,1,Q2095531
Q112594038,Flemish Minister of Culture,,,1,Q1865725
Q112596519,Flemish Minister of Energy,,Flemish Region,1,Q15991
Q112596519,Flemish Minister of Energy,,Flanders,1,Q15991
Q20517766,Foreign Minister of Armenia,,Armenia,1,Q2389114
Q12592509,Foreign minister of South Korea,,South Korea,1,Q1253
Q358834,"Foreign, Commonwealth and Development Office",,United Kingdom,1,Q336213
Q97061396,French Minister of Foreign Trade,,France,1,Q30348845
Q3251873,French Minister of the Sea,,France,1,Q2851582
Q12375217,Gender Equality and Equal Treatment Commissioner,,Estonia,1,Q12368739
Q64864590,General Secretary of the Progressive Party of Working People,,Cyprus,1,Q514075
Q2325058,German Minister of State,,Germany,1,Q67529
Q5589632,Governor of Baja California,,Baja California,1,Q5867703
Q4166196,Governor of Donetsk Oblast,,Donetsk Oblast,1,Q1459658
Q5589657,Governor of Guanajuato,,Guanajuato,1,Q2538498
Q1159846,Governor of Hong Kong,,British Hong Kong,1,Q167028
Q97212565,Governor of Kirov Oblast,,Kirov Oblast,1,Q1778740
Q18238389,Governor of Kursk Oblast,,Kursk Oblast,1,Q314116
Q97176691,Governor of Novgorod Oblast,,Novgorod Oblast,1,Q4382568
Q5589701,Governor of Puebla,,Puebla,1,Q6013951
Q4151344,Governor of Tyumen Oblast,,Tyumen Oblast,1,Q319497
Q92313702,Governor of the Province of Walloon Brabant,,Walloon Brabant,1,Q2749463
Q16993305,Greater Manchester Police and Crime Commissioner,,,1,Q695295
Q23835941,Greek deputy Minister of International Economic Relations,,Greece,1,Q20961948
Q23836192,Greek deputy minister of culture,Cabinet of Konstantinos Mitsotakis,Greece,1,Q3577025
Q105817516,HDP Co-chair,,,1,Q1362522
Q109314009,Head of Kyiv City,,Kyiv,1,Q4234749
Q16911984,Head of the Chuvash Republic,,Chuvash Republic,1,Q734866
Q109314149,Head of the Kyiv City Council,,,1,Q4234749
Q4376683,Head of the Republic of Tuva,,Tuva Republic,1,Q1378179
Q2344821,Head of the Respublic of Dagestan,,Republic of Dagestan,1,Q559930
Q97593102,Head of the Secretariat of the President of Ukraine,,,1,Q463095
Q55093491,High Comissionate for the 2013 Agenda,,,1,Q18686248
Q123695,High Commissioner,,Commonwealth of Nations,1,Q455223
Q114397357,High Commissioner of Tanzania to the United Kingdom,,,1,Q461710
Q470446,High Representative for Bosnia and Herzegovina,,,1,Q467905
Q634291,High Representative of the Union for Foreign Affairs and Security Policy,,European Union,1,Q3741557
Q59539134,Hradec Králové Region Assembly member,,Hradec Králové Region,1,Q4764548
Q20670163,ICDP commissioner and Vice president,,,1,Q1398046
Q6865864,Irish Minister for Health,,Republic of Ireland,1,Q466028
Q6865904,Irish Minister for Justice and Equality,,Republic of Ireland,1,Q540812
Q55075086,Italian Minister for Youth Policies,,Italy,1,Q447895
Q658082,Italian Minister of Agriculture,,Italy,1,Q3081082
Q28002426,Italian Minister of Cultural Heritage and Activities and Tourism,,Italy,1,Q388442
Q27991508,Italian Minister of Economic Development,,Italy,1,Q11860
Q28002382,Italian Minister of Economy and Finance,,Italy,1,Q11860
Q34153264,Italian Minister of Education,,Italy,1,Q3760928
Q27795992,Italian Minister of Health,,Italy,1,Q11860
Q32137240,Italian Minister of the Environment,,Italy,1,Q3615909
Q55045585,Italian minister for EU Affairs,,Italy,1,Q2850556
Q33182940,Judge of the European Court of Justice,,European Union,1,Q4718233
Q965043,Judge of the International Criminal Court,,,1,Q1942571
Q6313365,Junior Minister,,Northern Ireland,1,Q300292
Q20522353,Justice Minister of Slovenia,,Slovenia,1,Q23418897
Q107467644,Kreisrat in Freising,,Freising,1,Q15787696
Q6467494,Labour Party Chair,,Labour Party,1,Q263802
Q19860747,Labour minister of Greece,,Greece,1,Q12875258
Q22981850,Leader of the Centre Party,,,1,Q229517
Q23641306,Leader of the Democratic Unionist Party,,,1,Q300292
Q2636053,Leader of the House of Commons,,United Kingdom,1,Q332843
Q86139094,Leader of the Labour Party,,Kingdom of the Netherlands,1,Q459509
Q2962021,Leader of the Opposition,,Ontario,1,Q3369936
Q6508547,Leader of the Opposition,,New Zealand,1,Q558647
Q6508538,Leader of the Opposition,New Democracy,Greece,1,Q1895909
Q104522625,Leader of the Opposition (Scotland),,Scotland,1,Q10652
Q2962018,Leader of the Opposition of Alberta,,Alberta,1,Q5596353
Q24081901,Leader of the Scottish Liberal Democrats,,,1,Q266113
Q6508580,Leader of the Seanad,,Republic of Ireland,1,Q5512530
Q108913876,Leas-Chathaoirleach,,Republic of Ireland,1,Q6211607
Q63706078,Leas-Cheann Comhairle,,Republic of Ireland,1,Q466028
Q6540616,Liberal Democrat Frontbench Team,,,1,Q334603
Q24060535,Liberal Democrat Home Affairs spokesman,,,1,Q334603
Q63358655,Local deputies of Veracruz,,,1,Q5550244
Q1679781,Lord High Commissioner to the General Assembly of the Church of Scotland,,,1,Q167028
Q6679767,Lord Mayor of Cork,,Cork,1,Q1183377
Q22978391,Madrid municipal councillor,,Madrid,1,Q3297097
Q100172,Marshal of the Sejm,,Poland,1,Q245792
Q64825732,Mayor of Alfortville,,Alfortville,1,Q3426851
Q113506075,Mayor of Amarante,,Amarante,1,Q656518
Q62585199,Mayor of Ancenis,,Ancenis,1,Q3579929
Q62585210,Mayor of Arrans,,Arrans,1,Q30339275
Q65660027,Mayor of Askvoll,,Askvoll,1,Q6279061
Q20639919,Mayor of Athens,,Athens Municipality,1,Q464862
Q62587048,Mayor of Boulogne-sur-Mer,,Boulogne-sur-Mer,1,Q3121953
Q62385493,Mayor of Bourg-de-Péage,,Bourg-de-Péage,1,Q3027038
Q62583968,Mayor of Brionne,,Brionne,1,Q3085196
Q62586108,Mayor of Brive-la-Gaillarde,,Brive-la-Gaillarde,1,Q781970
Q62546318,Mayor of Brumath,,Brumath,1,Q2898601
Q62586112,Mayor of Brunoy,,Brunoy,1,Q3219088
Q61958731,Mayor of Cambrai,,Cambrai,1,Q3159355
Q61291944,Mayor of Carquefou,,Carquefou,1,Q585719
Q62585312,Mayor of Castelnaud-la-Chapelle,,Castelnaud-la-Chapelle,1,Q2362877
Q62583989,Mayor of Cerdon,,Cerdon,1,Q3507333
Q115255586,Mayor of Chaudfontaine,,Chaudfontaine,1,Q2949528
Q25552854,Mayor of Chișinău,,Chișinău,1,Q2143400
Q62584708,Mayor of Châteauneuf-du-Faou,,Châteauneuf-du-Faou,1,Q2965500
Q61986618,Mayor of Colmar,,Colmar,1,Q3105793
Q62584745,Mayor of Dammarie-lès-Lys,,Dammarie-les-Lys,1,Q1188660
Q62584748,Mayor of Derval,,Derval,1,Q3309935
Q62586285,Mayor of Franconville,,Franconville,1,Q3081384
Q62585446,Mayor of Gonfreville-l'Orcher,,Gonfreville-l'Orcher,1,Q602146
Q19655061,Mayor of Greater Manchester,,Greater Manchester,1,Q695295
Q62586313,Mayor of Gries,,Gries,1,Q18215030
Q65192790,Mayor of Handschuheim,,Handschuheim,1,Q3014177
Q62457866,Mayor of Hayange,,Hayange,1,Q3169556
Q62586331,Mayor of Hoenheim,,Hoenheim,1,Q2848624
Q62587234,Mayor of Héricourt,,Héricourt,1,Q3169573
Q62084622,Mayor of Illkirch-Graffenstaden,,Illkirch-Graffenstaden,1,Q3158284
Q65620273,Mayor of Kvinesdal,,Kvinesdal,1,Q11993129
Q62584151,Mayor of La Garde,,La Garde,1,Q3173270
Q64825658,Mayor of Landser,,Landser,1,Q3166865
Q56459597,Mayor of Latsia Municipality,,Latsia,1,Q54086751
Q62584193,Mayor of Le Pré-Saint-Gervais,,Le Pré-Saint-Gervais,1,Q3288851
Q62386198,Mayor of Libourne,,Libourne,1,Q1524023
Q28078366,Mayor of Limassol Municipality,,Limassol Municipality,1,Q12912924
Q61785912,Mayor of Lisieux,,Lisieux,1,Q3574055
Q62585547,Mayor of Liévin,,Liévin,1,Q3169447
Q111702346,Mayor of Loulé,,Loulé,1,Q11728611
Q62585566,Mayor of Maizières-lès-Metz,,Maizières-lès-Metz,1,Q3124323
Q62585580,Mayor of Marquillies,,Marquillies,1,Q3590999
Q62585581,Mayor of Martigna,,Martigna,1,Q3291640
Q62584905,Mayor of Maubourguet,,Maubourguet,1,Q3172322
Q61951092,Mayor of Metz,,Metz,1,Q3084783
Q62587376,Mayor of Meyrieu-les-Étangs,,Meyrieu-les-Étangs,1,Q3102502
Q62586539,Mayor of Montauban,,Montauban,1,Q2925398
Q62587392,Mayor of Montigny-le-Bretonneux,,Montigny-le-Bretonneux,1,Q3340014
Q62539471,Mayor of Montluçon,,Montluçon,1,Q3385262
Q56459601,Mayor of Morfou,,Morfou,1,Q440008
Q1837906,Mayor of Moscow,,Moscow,1,Q319497
Q62584946,Mayor of Mouais,,Mouais,1,Q3573589
Q61950974,Mayor of Mulhouse,,Mulhouse,1,Q981661
Q62586584,Mayor of Niederbronn-les-Bains,,Niederbronn-les-Bains,1,Q3090161
Q62585641,Mayor of Nordhouse,,Nordhouse,1,Q3081473
Q56068035,Mayor of Paphos Municipality,,Paphos Municipality,1,Q65498373
Q62584328,Mayor of Persan,,Persan,1,Q2863048
Q62389610,Mayor of Plouay,,Plouay,1,Q3159317
Q65435417,Mayor of Port-sur-Saône,,Port-sur-Saône,1,Q3168597
Q62587460,Mayor of Preuschdorf,,Preuschdorf,1,Q761527
Q62584998,Mayor of Quatzenheim,,Quatzenheim,1,Q30339476
Q15966528,Mayor of Reykjavík,,Reykjavík,1,Q467461
Q64826006,Mayor of Ribérac,,Ribérac,1,Q2897658
Q62587473,Mayor of Rieux-en-Cambrésis,,Rieux-en-Cambrésis,1,Q428214
Q11116728,Mayor of Riga,,Riga,1,Q461849
Q62585007,Mayor of Rixheim,,Rixheim,1,Q30348845
Q61927502,Mayor of Rueil-Malmaison,,Rueil-Malmaison,1,Q1242626
Q62585041,Mayor of Saint-Jean,,Saint-Jean,1,Q632930
Q62585060,Mayor of Saint-Nizier-de-Fornas,,Saint-Nizier-de-Fornas,1,Q2897913
Q62586780,Mayor of Saint-Pair-sur-Mer,,Saint-Pair-sur-Mer,1,Q30390636
Q62585074,Mayor of Saint-Venant,,Saint-Venant,1,Q2847758
Q62538336,Mayor of Sens,,Sens,1,Q3292063
Q62584509,Mayor of Souffelweyersheim,,Souffelweyersheim,1,Q522471
Q64826017,Mayor of Soulac-sur-Mer,,Soulac-sur-Mer,1,Q3570771
Q61955283,Mayor of Strasbourg,,Strasbourg,1,Q469010
Q62457102,Mayor of Tullins,,Tullins,1,Q2848745
Q113407569,Mayor of Vila Franca do Campo,,Vila Franca do Campo,1,Q10361221
Q62585159,Mayor of Ville-d'Avray,,Ville-d'Avray,1,Q3022530
Q115451527,Mayor of Wanze,,Wanze,1,Q2966321
Q62587633,Mayor of Woippy,,Woippy,1,Q3084783
Q1976028,Mayor of Yerevan,,Yerevan,1,Q2383515
Q26691750,Mayor of Ávila,,Ávila,1,Q399192
Q62584759,Mayor of Égletons,,Égletons,1,Q2897356
Q62019651,Mayor of Épinal,,Épinal,1,Q543332
Q105710227,Mayor of Évora,,Évora,1,Q65498268
Q109374396,Member of House of Representatives of the Federation of Bosnia and Herzegovina,,Federation of Bosnia and Herzegovina,1,Q312355
Q18618563,Member of Landtag of Rhineland-Palatinate,,Rhineland-Palatinate,1,Q1690199
Q42310633,Member of the 1st National Assembly for Wales,,Wales,1,Q296797
Q30580541,Member of the 1st Scottish Parliament,,Scotland,1,Q10652
Q42310642,Member of the 2nd National Assembly for Wales,,Wales,1,Q296797
Q30580545,Member of the 4th Scottish Parliament,,Scotland,1,Q10652
Q106762836,Member of the 6th Scottish Parliament,,Scotland,1,Q30167357
Q22262242,Member of the Assembly of Kosovo,,Kosovo,1,Q50380070
Q19953712,Member of the Assembly of the Republic,,Mozambique,1,Q6722501
Q23772807,Member of the Athens Academy,,,1,Q3577025
Q15835370,Member of the Bundesrat of Germany,,,1,Q1514088
Q42407451,Member of the Cortes of Aragon,,Aragon,1,Q7290531
Q22998960,Member of the Cortes of Castile and León,,Castile and León,1,Q65499080
Q21328582,Member of the Council of Representatives of Bahrain,,Bahrain,1,Q20408969
Q111893540,Member of the Council of State of Mozambique,,Mozambique,1,Q6722501
Q24736085,Member of the General Council of Bucharest,,,1,Q28035524
Q21290865,Member of the House of Representatives of Thailand,,Thailand,1,Q473046
Q25973795,Member of the Jura parliament,,Canton of Jura,1,Q119418
Q17481175,Member of the Landtag of Baden-Württemberg,,Baden-Württemberg,1,Q2503159
Q18821575,Member of the Landtag of Lower Austria,,Lower Austria,1,Q112165
Q18327349,Member of the Landtag of Mecklenburg-Vorpommern,,Mecklenburg-Western Pomerania,1,Q1729573
Q18130478,Member of the Landtag of Saarland,,Saarland,1,Q1604029
Q17334379,Member of the Landtag of Saxony,,Saxony,1,Q110576
Q17344251,Member of the Landtag of Thuringia,,Thuringia,1,Q1905496
Q19252823,Member of the National Assembly of Djibouti,,Djibouti,1,Q16193066
Q21295991,Member of the National Assembly of Mali,,Mali,1,Q110656156
Q21295994,Member of the National Assembly of Namibia,,Namibia,1,Q654433
Q18145518,Member of the New Zealand Parliament,,New Zealand,1,Q558647
Q22998723,Member of the Parliament of Castile-La Mancha,,Castile-La Mancha,1,Q27999088
Q19462434,Member of the Parliament of Northern Ireland,,Northern Ireland,1,Q333991
Q21296005,Member of the Parliament of Uganda,,Uganda,1,Q58240
Q33108580,Member of the Parliament of the Brussels-Capital Region,,Brussels-Capital Region,1,Q2674733
Q21328575,Member of the People's Majlis,,Maldives,1,Q4665893
Q11811941,Member of the Swiss Federal Council,,Switzerland,1,Q123823
Q19858568,Minister at the Presidency of the Government of Greece,,Greece,1,Q15618317
Q105063624,Minister for Agriculture and Food,,United Kingdom,1,Q391644
Q43157117,"Minister for Agriculture, Fisheries and Food",,Spain,1,Q1317281
Q18589754,Minister for Church Affairs,,Sweden,1,Q3431836
Q6865781,Minister for Defence,,Republic of Ireland,1,Q908665
Q6865782,"Minister for Defence Equipment, Support and Technology",,United Kingdom,1,Q332843
Q108563740,Minister for Digital Engagement and Civil Service Issues,,,1,Q263802
Q10686171,Minister for Domestic Affairs,,Sweden,1,Q5887217
Q27990812,Minister for Economic Affairs,,Denmark,1,Q531763
Q109689797,Minister for Education,,Malta,1,Q524877
Q30107297,Minister for Education and Employment,,Malta,1,Q524877
Q6865816,Minister for Education and Skills,,Republic of Ireland,1,Q1995359
Q3612254,Minister for Energy,,Sweden,1,Q1375199
Q10686220,Minister for Enterprise,,Sweden,1,Q1375199
Q61607793,Minister for Equality,,Portugal,1,Q6761683
Q11895142,Minister for European Affairs and Foreign Trade,,Finland,1,Q4984722
Q58622717,Minister for European affairs,,Romania,1,Q12720574
Q54935312,Minister for Family and Social Solidarity,,Malta,1,Q524877
Q6865853,Minister for Foreign Affairs and Trade,,Republic of Ireland,1,Q982225
Q16147098,Minister for Foreign Affairs of Greece,Coalition Cabinet of Lucas Papademos,Greece,1,Q58091
Q16147098,Minister for Foreign Affairs of Greece,First Cabinet of Kostas Karamanlis,Greece,1,Q464862
Q2572883,Minister for Foreign Trade and Development Cooperation,,Netherlands,1,Q459509
Q6865858,Minister for Gender Equality Affairs,,Sweden,1,Q3431836
Q54935371,Minister for Home Affairs and National Security,,Malta,1,Q5373281
Q6865890,Minister for Integration,,Sweden,1,Q6039678
Q107710591,Minister for Interior,,Latvia,1,Q342929
Q10686038,Minister for International Development Cooperation,,Sweden,1,Q772089
Q11812555,Minister for International Security Strategy,,,1,Q332843
Q6865902,"Minister for Jobs, Enterprise and Innovation",,Republic of Ireland,1,Q540812
Q3315958,Minister for Justice,,Sweden,1,Q5887217
Q6865920,Minister for London,,Greater London,1,Q20647800
Q6865935,Minister for National Defence of Greece,Second Cabinet of Kostas Karamanlis,Greece,1,Q1895909
Q11991832,Minister for Nordic Co-operation,,Denmark,1,Q12327462
Q29963125,Minister for Overseas France,,France,1,Q2851582
Q24284260,Minister for Pensions and Ageing Society,,United Kingdom,1,Q261773
Q55075011,Minister for Program Delivery,,Italy,1,Q738585
Q6865939,Minister for Public Expenditure and Reform,,Republic of Ireland,1,Q466028
Q39074308,Minister for Public Health,,Sweden,1,Q5887217
Q27940846,Minister for Public Innovation,,Denmark,1,Q12336452
Q111509233,Minister for Public Works and Planning,,Malta,1,Q37861353
Q61927426,Minister for Qualification and Employment,,Portugal,1,Q925136
Q108379621,Minister for Reconciliation and Civic Equality,,Georgia,1,Q673705
